kernel;c_value;gamma;degree;coef0;iteration;class;precision;recall;f1;accuracy
poly;10.00;scale;3;0;5;0;0.9821;0.9859;0.9840;0.9864
poly;10.00;scale;3;0;5;1;1.0000;1.0000;1.0000;1.0000
poly;10.00;scale;3;0;5;2;0.9806;0.9754;0.9780;0.9864
poly;10.00;scale;4;0;3;0;0.9782;0.9910;0.9846;0.9868
poly;10.00;scale;4;0;3;1;1.0000;1.0000;1.0000;1.0000
poly;10.00;scale;4;0;3;2;0.9875;0.9698;0.9786;0.9868
poly;10.00;scale;4;0;4;0;0.9785;0.9874;0.9830;0.9855
poly;10.00;scale;4;0;4;1;0.9994;1.0000;0.9997;0.9998
poly;10.00;scale;4;0;4;2;0.9831;0.9703;0.9767;0.9857
poly;10.00;scale;4;0;5;0;0.9785;0.9872;0.9828;0.9854
poly;10.00;scale;4;0;5;1;1.0000;1.0000;1.0000;1.0000
poly;10.00;scale;4;0;5;2;0.9823;0.9703;0.9763;0.9854
poly;10.00;scale;5;0;1;0;0.9747;0.9930;0.9838;0.9861
poly;10.00;scale;5;0;1;1;1.0000;1.0000;1.0000;1.0000
poly;10.00;scale;5;0;1;2;0.9902;0.9648;0.9773;0.9861
poly;10.00;scale;5;0;2;0;0.9739;0.9937;0.9837;0.9860
poly;10.00;scale;5;0;2;1;0.9998;0.9998;0.9998;0.9999
poly;10.00;scale;5;0;2;2;0.9913;0.9638;0.9773;0.9861
poly;10.00;scale;5;0;3;0;0.9721;0.9928;0.9823;0.9849
poly;10.00;scale;5;0;3;1;1.0000;1.0000;1.0000;1.0000
poly;10.00;scale;5;0;3;2;0.9898;0.9610;0.9752;0.9849
poly;10.00;scale;5;0;4;0;0.9721;0.9902;0.9811;0.9838
poly;10.00;scale;5;0;4;1;0.9998;1.0000;0.9999;0.9999
poly;10.00;scale;5;0;4;2;0.9865;0.9612;0.9736;0.9839
poly;10.00;scale;6;0;1;0;0.9720;0.9935;0.9826;0.9851
poly;10.00;scale;6;0;1;1;1.0000;1.0000;1.0000;1.0000
poly;10.00;scale;6;0;1;2;0.9909;0.9608;0.9756;0.9851
poly;10.00;scale;5;0;5;0;0.9733;0.9897;0.9814;0.9842
poly;10.00;scale;5;0;5;1;1.0000;1.0000;1.0000;1.0000
poly;10.00;scale;5;0;5;2;0.9856;0.9629;0.9741;0.9842
poly;10.00;scale;6;0;2;0;0.9708;0.9939;0.9822;0.9847
poly;10.00;scale;6;0;2;1;0.9998;1.0000;0.9999;0.9999
poly;10.00;scale;6;0;2;2;0.9916;0.9591;0.9751;0.9848
poly;10.00;scale;6;0;3;0;0.9696;0.9939;0.9816;0.9842
poly;10.00;scale;6;0;3;1;1.0000;1.0000;1.0000;1.0000
poly;10.00;scale;6;0;3;2;0.9914;0.9573;0.9741;0.9842
poly;10.00;scale;6;0;4;0;0.9693;0.9919;0.9804;0.9832
poly;10.00;scale;6;0;4;1;0.9998;1.0000;0.9999;0.9999
poly;10.00;scale;6;0;4;2;0.9887;0.9570;0.9726;0.9833
poly;10.00;scale;6;0;5;0;0.9696;0.9912;0.9803;0.9831
poly;10.00;scale;6;0;5;1;1.0000;1.0000;1.0000;1.0000
poly;10.00;scale;6;0;5;2;0.9877;0.9575;0.9723;0.9831
poly;0.10;scale;3;0;1;0;0.9778;0.9883;0.9830;0.9856
poly;0.10;scale;3;0;1;1;0.9988;1.0000;0.9994;0.9997
poly;0.10;scale;3;0;1;2;0.9848;0.9693;0.9770;0.9859
poly;0.10;scale;2;0;1;0;0.9757;0.9897;0.9827;0.9852
poly;0.10;scale;2;0;1;1;0.9976;1.0000;0.9988;0.9994
poly;0.10;scale;2;0;1;2;0.9878;0.9663;0.9769;0.9859
poly;0.10;scale;4;0;1;0;0.9746;0.9883;0.9814;0.9842
poly;0.10;scale;4;0;1;1;0.9992;1.0000;0.9996;0.9998
poly;0.10;scale;4;0;1;2;0.9844;0.9648;0.9745;0.9844
poly;0.10;scale;3;0;2;0;0.9796;0.9883;0.9840;0.9864
poly;0.10;scale;3;0;2;1;0.9996;1.0000;0.9998;0.9999
poly;0.10;scale;3;0;2;2;0.9842;0.9719;0.9780;0.9865
poly;0.10;scale;2;0;2;0;0.9789;0.9897;0.9843;0.9866
poly;0.10;scale;2;0;2;1;0.9992;1.0000;0.9996;0.9998
poly;0.10;scale;2;0;2;2;0.9864;0.9709;0.9786;0.9868
poly;0.10;scale;4;0;2;0;0.9755;0.9883;0.9819;0.9845
poly;0.10;scale;4;0;2;1;0.9998;1.0000;0.9999;0.9999
poly;0.10;scale;4;0;2;2;0.9839;0.9660;0.9749;0.9846
poly;0.10;scale;3;0;3;0;0.9782;0.9904;0.9842;0.9866
poly;0.10;scale;3;0;3;1;0.9994;1.0000;0.9997;0.9998
poly;0.10;scale;3;0;3;2;0.9871;0.9698;0.9784;0.9867
poly;0.10;scale;2;0;3;0;0.9785;0.9926;0.9855;0.9876
poly;0.10;scale;2;0;3;1;0.9988;1.0000;0.9994;0.9997
poly;0.10;scale;2;0;3;2;0.9908;0.9702;0.9804;0.9880
poly;0.10;scale;4;0;3;0;0.9752;0.9905;0.9828;0.9853
poly;0.10;scale;4;0;3;1;0.9994;1.0000;0.9997;0.9998
poly;0.10;scale;4;0;3;2;0.9872;0.9655;0.9762;0.9854
poly;0.10;scale;3;0;4;0;0.9808;0.9895;0.9851;0.9873
poly;0.10;scale;3;0;4;1;0.9998;1.0000;0.9999;0.9999
poly;0.10;scale;3;0;4;2;0.9856;0.9735;0.9795;0.9874
poly;0.10;scale;2;0;4;0;0.9799;0.9918;0.9858;0.9879
poly;0.10;scale;2;0;4;1;0.9990;1.0000;0.9995;0.9997
poly;0.10;scale;2;0;4;2;0.9894;0.9723;0.9808;0.9882
poly;0.10;scale;4;0;4;0;0.9758;0.9888;0.9823;0.9849
poly;0.10;scale;4;0;4;1;0.9998;1.0000;0.9999;0.9999
poly;0.10;scale;4;0;4;2;0.9846;0.9665;0.9755;0.9850
poly;0.10;scale;3;0;5;0;0.9777;0.9901;0.9839;0.9862
poly;0.10;scale;3;0;5;1;0.9994;1.0000;0.9997;0.9998
poly;0.10;scale;3;0;5;2;0.9868;0.9691;0.9779;0.9864
poly;0.10;scale;2;0;5;0;0.9780;0.9915;0.9847;0.9869
poly;0.10;scale;2;0;5;1;0.9986;1.0000;0.9993;0.9996
poly;0.10;scale;2;0;5;2;0.9894;0.9695;0.9793;0.9873
poly;0.10;scale;4;0;5;0;0.9760;0.9900;0.9829;0.9854
poly;0.10;scale;4;0;5;1;1.0000;1.0000;1.0000;1.0000
poly;0.10;scale;4;0;5;2;0.9860;0.9667;0.9763;0.9854
poly;0.10;scale;5;0;1;0;0.9665;0.9892;0.9777;0.9809
poly;0.10;scale;5;0;1;1;0.9992;0.9998;0.9995;0.9997
poly;0.10;scale;5;0;1;2;0.9855;0.9533;0.9691;0.9812
poly;0.10;scale;6;0;1;0;0.9533;0.9907;0.9716;0.9755
poly;0.10;scale;6;0;1;1;0.9992;1.0000;0.9996;0.9998
poly;0.10;scale;6;0;1;2;0.9873;0.9336;0.9597;0.9757
poly;0.10;scale;5;0;2;0;0.9676;0.9892;0.9783;0.9814
poly;0.10;scale;5;0;2;1;0.9998;1.0000;0.9999;0.9999
poly;0.10;scale;5;0;2;2;0.9850;0.9547;0.9696;0.9815
poly;0.10;scale;5;0;3;0;0.9686;0.9906;0.9795;0.9824
poly;0.10;scale;5;0;3;1;0.9994;1.0000;0.9997;0.9998
poly;0.10;scale;5;0;3;2;0.9873;0.9561;0.9715;0.9826
poly;0.10;scale;5;0;4;0;0.9679;0.9896;0.9786;0.9817
poly;0.10;scale;5;0;4;1;0.9998;1.0000;0.9999;0.9999
poly;0.10;scale;5;0;4;2;0.9855;0.9551;0.9701;0.9817
poly;0.10;scale;5;0;5;0;0.9684;0.9907;0.9794;0.9824
poly;0.10;scale;5;0;5;1;1.0000;0.9998;0.9999;0.9999
poly;0.10;scale;5;0;5;2;0.9869;0.9559;0.9712;0.9824
poly;0.10;scale;6;0;2;0;0.9520;0.9902;0.9707;0.9747
poly;0.10;scale;6;0;2;1;0.9998;1.0000;0.9999;0.9999
poly;0.10;scale;6;0;2;2;0.9860;0.9317;0.9581;0.9748
poly;0.10;scale;6;0;3;0;0.9541;0.9918;0.9726;0.9763
poly;0.10;scale;6;0;3;1;1.0000;1.0000;1.0000;1.0000
poly;0.10;scale;6;0;3;2;0.9881;0.9348;0.9607;0.9763
poly;0.10;scale;6;0;4;0;0.9529;0.9909;0.9715;0.9754
poly;0.10;scale;6;0;4;1;1.0000;1.0000;1.0000;1.0000
poly;0.10;scale;6;0;4;2;0.9868;0.9331;0.9592;0.9754
poly;0.10;scale;6;0;5;0;0.9567;0.9914;0.9737;0.9773
poly;0.10;scale;6;0;5;1;1.0000;1.0000;1.0000;1.0000
poly;0.10;scale;6;0;5;2;0.9876;0.9386;0.9625;0.9773
poly;10.00;scale;1;0;1;0;0.9808;0.9868;0.9838;0.9862
poly;10.00;scale;1;0;1;1;0.9982;1.0000;0.9991;0.9995
poly;10.00;scale;1;0;1;2;0.9834;0.9736;0.9785;0.9867
poly;1.00;scale;1;0;1;0;0.9795;0.9880;0.9837;0.9861
poly;1.00;scale;1;0;1;1;0.9982;1.0000;0.9991;0.9995
poly;1.00;scale;1;0;1;2;0.9849;0.9717;0.9783;0.9866
poly;10.00;scale;1;0;2;0;0.9810;0.9895;0.9852;0.9874
poly;10.00;scale;1;0;2;1;0.9978;1.0000;0.9989;0.9994
poly;10.00;scale;1;0;2;2;0.9873;0.9738;0.9805;0.9880
poly;1.00;scale;1;0;2;0;0.9799;0.9888;0.9843;0.9867
poly;1.00;scale;1;0;2;1;0.9978;1.0000;0.9989;0.9994
poly;1.00;scale;1;0;2;2;0.9865;0.9723;0.9793;0.9873
poly;0.10;scale;1;0;1;0;0.9765;0.9871;0.9818;0.9845
poly;0.10;scale;1;0;1;1;0.9994;0.9992;0.9993;0.9996
poly;0.10;scale;1;0;1;2;0.9826;0.9683;0.9754;0.9849
poly;10.00;scale;1;0;3;0;0.9821;0.9872;0.9846;0.9869
poly;10.00;scale;1;0;3;1;0.9990;1.0000;0.9995;0.9997
poly;10.00;scale;1;0;3;2;0.9832;0.9754;0.9793;0.9872
poly;1.00;scale;1;0;3;0;0.9809;0.9878;0.9843;0.9867
poly;1.00;scale;1;0;3;1;0.9990;1.0000;0.9995;0.9997
poly;1.00;scale;1;0;3;2;0.9840;0.9736;0.9788;0.9869
poly;10.00;scale;1;0;4;0;0.9792;0.9895;0.9843;0.9866
poly;10.00;scale;1;0;4;1;0.9990;0.9998;0.9994;0.9997
poly;10.00;scale;1;0;4;2;0.9863;0.9714;0.9788;0.9869
poly;1.00;scale;1;0;4;0;0.9782;0.9893;0.9837;0.9861
poly;1.00;scale;1;0;4;1;0.9990;0.9998;0.9994;0.9997
poly;1.00;scale;1;0;4;2;0.9861;0.9700;0.9780;0.9865
poly;10.00;scale;1;0;5;0;0.9793;0.9860;0.9827;0.9853
poly;10.00;scale;1;0;5;1;0.9974;0.9998;0.9986;0.9992
poly;10.00;scale;1;0;5;2;0.9830;0.9717;0.9773;0.9860
poly;0.10;scale;1;0;2;0;0.9761;0.9896;0.9828;0.9853
poly;0.10;scale;1;0;2;1;0.9984;0.9990;0.9987;0.9993
poly;0.10;scale;1;0;2;2;0.9869;0.9677;0.9772;0.9860
poly;1.00;scale;1;0;5;0;0.9782;0.9868;0.9825;0.9851
poly;1.00;scale;1;0;5;1;0.9974;0.9998;0.9986;0.9992
poly;1.00;scale;1;0;5;2;0.9840;0.9702;0.9770;0.9859
poly;0.10;scale;1;0;3;0;0.9774;0.9852;0.9812;0.9840
poly;0.10;scale;1;0;3;1;0.9994;0.9994;0.9994;0.9997
poly;0.10;scale;1;0;3;2;0.9800;0.9693;0.9746;0.9844
poly;0.10;scale;1;0;4;0;0.9750;0.9882;0.9815;0.9843
poly;0.10;scale;1;0;4;1;0.9998;0.9990;0.9994;0.9997
poly;0.10;scale;1;0;4;2;0.9838;0.9662;0.9749;0.9846
poly;0.10;scale;1;0;5;0;0.9748;0.9858;0.9803;0.9832
poly;0.10;scale;1;0;5;1;0.9990;0.9990;0.9990;0.9995
poly;0.10;scale;1;0;5;2;0.9812;0.9660;0.9735;0.9837
poly;0.10;scale;3;1;1;0;0.9820;0.9880;0.9850;0.9872
poly;0.10;scale;3;1;1;1;0.9996;1.0000;0.9998;0.9999
poly;0.10;scale;3;1;1;2;0.9837;0.9752;0.9794;0.9873
poly;0.10;scale;2;1;1;0;0.9807;0.9874;0.9841;0.9865
poly;0.10;scale;2;1;1;1;0.9990;1.0000;0.9995;0.9997
poly;0.10;scale;2;1;1;2;0.9835;0.9735;0.9785;0.9867
poly;0.10;scale;4;1;1;0;0.9823;0.9880;0.9851;0.9874
poly;0.10;scale;4;1;1;1;0.9996;1.0000;0.9998;0.9999
poly;0.10;scale;4;1;1;2;0.9837;0.9757;0.9797;0.9875
poly;0.10;scale;3;1;2;0;0.9829;0.9860;0.9845;0.9868
poly;0.10;scale;3;1;2;1;1.0000;1.0000;1.0000;1.0000
poly;0.10;scale;3;1;2;2;0.9808;0.9766;0.9787;0.9868
poly;0.10;scale;2;1;2;0;0.9826;0.9858;0.9842;0.9866
poly;0.10;scale;2;1;2;1;0.9998;1.0000;0.9999;0.9999
poly;0.10;scale;2;1;2;2;0.9807;0.9761;0.9784;0.9866
poly;0.10;scale;4;1;2;0;0.9837;0.9859;0.9848;0.9871
poly;0.10;scale;4;1;2;1;1.0000;1.0000;1.0000;1.0000
poly;0.10;scale;4;1;2;2;0.9807;0.9776;0.9792;0.9871
poly;0.10;scale;3;1;3;0;0.9841;0.9867;0.9854;0.9876
poly;0.10;scale;3;1;3;1;0.9994;1.0000;0.9997;0.9998
poly;0.10;scale;3;1;3;2;0.9822;0.9781;0.9802;0.9878
poly;0.10;scale;4;1;3;0;0.9847;0.9871;0.9859;0.9880
poly;0.10;scale;4;1;3;1;0.9998;1.0000;0.9999;0.9999
poly;0.10;scale;4;1;3;2;0.9824;0.9790;0.9807;0.9881
poly;0.10;scale;2;1;3;0;0.9836;0.9860;0.9848;0.9871
poly;0.10;scale;2;1;3;1;0.9984;1.0000;0.9992;0.9996
poly;0.10;scale;2;1;3;2;0.9822;0.9775;0.9798;0.9875
poly;0.10;scale;3;1;4;0;0.9831;0.9890;0.9860;0.9881
poly;0.10;scale;3;1;4;1;1.0000;1.0000;1.0000;1.0000
poly;0.10;scale;3;1;4;2;0.9848;0.9768;0.9808;0.9881
poly;0.10;scale;4;1;4;0;0.9835;0.9888;0.9862;0.9882
poly;0.10;scale;4;1;4;1;1.0000;1.0000;1.0000;1.0000
poly;0.10;scale;4;1;4;2;0.9846;0.9773;0.9809;0.9882
poly;0.10;scale;2;1;4;0;0.9817;0.9888;0.9853;0.9875
poly;0.10;scale;2;1;4;1;0.9996;1.0000;0.9998;0.9999
poly;0.10;scale;2;1;4;2;0.9849;0.9749;0.9799;0.9876
poly;0.10;scale;3;1;5;0;0.9852;0.9857;0.9854;0.9876
poly;0.10;scale;3;1;5;1;0.9996;1.0000;0.9998;0.9999
poly;0.10;scale;3;1;5;2;0.9807;0.9797;0.9802;0.9878
poly;0.10;scale;4;1;5;0;0.9855;0.9855;0.9855;0.9878
poly;0.10;scale;4;1;5;1;0.9998;1.0000;0.9999;0.9999
poly;0.10;scale;4;1;5;2;0.9804;0.9802;0.9803;0.9878
poly;0.10;scale;2;1;5;0;0.9848;0.9849;0.9848;0.9872
poly;0.10;scale;2;1;5;1;0.9990;1.0000;0.9995;0.9997
poly;0.10;scale;2;1;5;2;0.9802;0.9792;0.9797;0.9874
poly;0.10;scale;3;10;1;0;0.9828;0.9883;0.9856;0.9878
poly;0.10;scale;3;10;1;1;0.9996;1.0000;0.9998;0.9999
poly;0.10;scale;3;10;1;2;0.9843;0.9764;0.9803;0.9879
poly;0.10;scale;2;10;1;0;0.9817;0.9882;0.9850;0.9872
poly;0.10;scale;2;10;1;1;0.9998;1.0000;0.9999;0.9999
poly;0.10;scale;2;10;1;2;0.9839;0.9748;0.9794;0.9873
poly;0.10;scale;3;10;2;0;0.9853;0.9859;0.9856;0.9878
poly;0.10;scale;3;10;2;1;1.0000;1.0000;1.0000;1.0000
poly;0.10;scale;3;10;2;2;0.9807;0.9799;0.9803;0.9878
poly;0.10;scale;4;10;1;0;0.9825;0.9882;0.9853;0.9875
poly;0.10;scale;4;10;1;1;0.9996;1.0000;0.9998;0.9999
poly;0.10;scale;4;10;1;2;0.9841;0.9759;0.9800;0.9876
poly;0.10;scale;2;10;2;0;0.9833;0.9858;0.9845;0.9869
poly;0.10;scale;2;10;2;1;1.0000;1.0000;1.0000;1.0000
poly;0.10;scale;2;10;2;2;0.9805;0.9771;0.9788;0.9869
poly;0.10;scale;3;10;3;0;0.9857;0.9863;0.9860;0.9881
poly;0.10;scale;3;10;3;1;0.9998;1.0000;0.9999;0.9999
poly;0.10;scale;3;10;3;2;0.9814;0.9804;0.9809;0.9882
poly;0.10;scale;4;10;2;0;0.9859;0.9858;0.9859;0.9880
poly;0.10;scale;4;10;2;1;1.0000;1.0000;1.0000;1.0000
poly;0.10;scale;4;10;2;2;0.9806;0.9807;0.9807;0.9880
poly;0.10;scale;2;10;3;0;0.9846;0.9864;0.9855;0.9877
poly;0.10;scale;2;10;3;1;0.9994;1.0000;0.9997;0.9998
poly;0.10;scale;2;10;3;2;0.9819;0.9788;0.9804;0.9879
poly;0.10;scale;3;10;4;0;0.9841;0.9883;0.9862;0.9883
poly;0.10;scale;3;10;4;1;1.0000;1.0000;1.0000;1.0000
poly;0.10;scale;3;10;4;2;0.9839;0.9781;0.9810;0.9883
poly;0.10;scale;2;10;4;0;0.9834;0.9888;0.9861;0.9882
poly;0.10;scale;2;10;4;1;0.9998;1.0000;0.9999;0.9999
poly;0.10;scale;2;10;4;2;0.9848;0.9771;0.9809;0.9882
poly;0.10;scale;3;10;5;0;0.9869;0.9855;0.9862;0.9883
poly;0.10;scale;3;10;5;1;0.9998;1.0000;0.9999;0.9999
poly;0.10;scale;3;10;5;2;0.9804;0.9821;0.9813;0.9884
poly;0.10;scale;4;10;3;0;0.9861;0.9871;0.9866;0.9886
poly;0.10;scale;4;10;3;1;1.0000;1.0000;1.0000;1.0000
poly;0.10;scale;4;10;3;2;0.9823;0.9809;0.9816;0.9886
poly;0.10;scale;2;10;5;0;0.9862;0.9852;0.9857;0.9879
poly;0.10;scale;2;10;5;1;0.9992;1.0000;0.9996;0.9998
poly;0.10;scale;2;10;5;2;0.9804;0.9811;0.9808;0.9881
poly;0.10;scale;2;100;1;0;0.9814;0.9881;0.9847;0.9870
poly;0.10;scale;2;100;1;1;0.9998;1.0000;0.9999;0.9999
poly;0.10;scale;2;100;1;2;0.9837;0.9743;0.9790;0.9871
poly;0.10;scale;4;10;4;0;0.9845;0.9881;0.9863;0.9883
poly;0.10;scale;4;10;4;1;1.0000;1.0000;1.0000;1.0000
poly;0.10;scale;4;10;4;2;0.9836;0.9787;0.9811;0.9883
poly;0.10;scale;3;100;1;0;0.9828;0.9883;0.9856;0.9878
poly;0.10;scale;3;100;1;1;0.9996;1.0000;0.9998;0.9999
poly;0.10;scale;3;100;1;2;0.9843;0.9764;0.9803;0.9879
poly;0.10;scale;2;100;2;0;0.9837;0.9864;0.9851;0.9873
poly;0.10;scale;2;100;2;1;1.0000;1.0000;1.0000;1.0000
poly;0.10;scale;2;100;2;2;0.9814;0.9776;0.9795;0.9873
